ACTIVITY_ID,LEAD_ID,CLOSER_NAME,ACTIVITY_AT,OBJECTIONS_FACED,OBJECTION_DATA_TYPE
acti_0VQ1FygIzUTkADZ4V3Ec2gBL9R9S8q88MY1r7g8I2ia,lead_hMuwHYLkUxf581L1Btda6xdnNmK4033DAODcdG4UdSm,,2026-04-30 15:55:56.500,"[""Wasn't Looking For What We Offered""]",VARCHAR(16777216)[LOB]
acti_4zMOlVyK430YJHp6gDEeIgpXULom53oszQXtFaXw9uf,lead_hO0fiahcK5mnwSWreEdTdGKuaVlapS9lS8EiCCF9Xt5,,2026-04-03 23:39:27.331,"[""Partner""]",VARCHAR(16777216)[LOB]
acti_bUZZMVCucP5T3ZI5ujPwpb5zE4y8H7PXqmQDJXgtcyP,lead_hP3B7IdCw6pIraHGNxYlLNV7ludKXbMR4igp4xZQhfb,Peter Kovac,2026-04-14 21:27:25.963,"[""Logistical"",""Money"",""Time""]",VARCHAR(16777216)[LOB]
acti_QEY5Wwf9qU8GUmXvImrYzJpUiNE4R2vZzg59Svi0ZPE,lead_hPWcTtYOWYhqlbgaaY3EdrwKrfONXAoPNxJq5P29ib6,,2026-04-28 22:51:07.448,"[""Hung Up""]",VARCHAR(16777216)[LOB]
acti_EN6HhUCHKXTw8y97w2cZP0vcw95581OIAGsnQ5oIYpF,lead_hPuxW1cLlzHOpenWV4RZ2zxV7MHdxh6JCj15j0Q8kbp,,2026-05-29 02:31:36.304,"[""No Objections""]",VARCHAR(16777216)[LOB]
acti_M8zIPm4cSbuV6britMe4qOaP7Gbp2jWcYYCrfStl9rs,lead_hPuxW1cLlzHOpenWV4RZ2zxV7MHdxh6JCj15j0Q8kbp,Christopher Garzon,2026-05-28 15:58:20.095,"[""No Objections""]",VARCHAR(16777216)[LOB]
acti_Ovfw4AIr0V9BLf4TBHUO1cJUr5djaSVFPrxf4UJcFqC,lead_hPuxW1cLlzHOpenWV4RZ2zxV7MHdxh6JCj15j0Q8kbp,Christopher Garzon,2026-05-28 15:56:08.956,"[""Think About It""]",VARCHAR(16777216)[LOB]
acti_cDgI0e9xxy8FFMZ0MQF93i7H8R2N1X3m1yvirF8hJrf,lead_hPuxW1cLlzHOpenWV4RZ2zxV7MHdxh6JCj15j0Q8kbp,Christopher Garzon,2026-05-28 16:02:42.314,"[""Think About It""]",VARCHAR(16777216)[LOB]
acti_y7ATEBRUTwZkbVn46whqngP7l9VybY02YDhFmJyRhRq,lead_hPuxW1cLlzHOpenWV4RZ2zxV7MHdxh6JCj15j0Q8kbp,Christopher Garzon,2026-05-28 15:27:52.225,"[""Think About It""]",VARCHAR(16777216)[LOB]
acti_YcyvaPpF2Bm67BrJSKzU53Kj1awujajomEpDeXAaZ7y,lead_hRclVmrIvIQlGd4hRltpMLj24iIuMROCElH1z5nLKEm,,2026-05-29 00:01:15.589,"[""No Show""]",VARCHAR(16777216)[LOB]
acti_fzPf30pZvcHob41395cZaKZrcciZZTjO4txvF3pZuYu,lead_ppEvPkmBVmm1yG0YGHXsnRMDDteLHi0zMU0TBNaxRSJ,,2026-06-24 01:05:15.544,"[""No Objections""]",VARCHAR(16777216)[LOB]
acti_2hLdZJ8xUjEvFLyR2B3GwX2TDeeHMSy5UL7SAYWYEck,lead_ppZZx73G0HjdCkSobEuMaLq9sTuLIGwVwlioRsacHxd,,2026-03-26 23:27:22.901,"[""Fear"",""Logistical""]",VARCHAR(16777216)[LOB]
acti_GMxPydvJakq3AyCw14vFl3X9Oxnc2HKxqljaRsi2kD7,lead_pqqK18ooSoy1AHmYjF0SirpuRBLpC0fduY684Kz7hIe,,2026-04-29 14:17:38.317,"[""No Show""]",VARCHAR(16777216)[LOB]
acti_qaOJhmWf2FLQbppGVvBX6Bhd6uvbCbVe6E4PugL0usv,lead_pqqK18ooSoy1AHmYjF0SirpuRBLpC0fduY684Kz7hIe,,2026-04-29 14:19:10.218,"[""No Show""]",VARCHAR(16777216)[LOB]
