ACTIVITY_ID,LEAD_ID,CUSTOM_ACTIVITY_ID,TRIAGE_CALL_OUTCOME,STRATEGY_CALL_OUTCOME,OFFER_PRESENTED,CONTRACT_VALUE,CASH_COLLECTED,SETTER_USER_ID,CLOSER_USER_ID,PROGRAM,OBJECTIONS_FACED
acti_BCadsVsYlw1s0bydLKH4MJGlRALR2m1ozipFrlIW84V,lead_mVUUbDXdTs9neZ9YW8bFk0p3LEQwmq4VtsMr3B9JYYe,actitype_2VcSfZQX6FeIL8kkxy48C2,,4. No Show,No,,,user_GneoEyuMMpnzmrtOK21rih7X3vENKVAkA7477rnqlwg,user_GneoEyuMMpnzmrtOK21rih7X3vENKVAkA7477rnqlwg,,"[""No Show""]"
acti_OiRv5CCXZGEMXulPIVw3nBdfKcJI7uHbvcg7kiEKaH4,lead_mVUUbDXdTs9neZ9YW8bFk0p3LEQwmq4VtsMr3B9JYYe,actitype_4tEv1xumZEk9vYYs7WxYy7,,,,,,,,,
acti_b0E4O31xTAyidIyPvvpITTnnNMcdFVy7dzmF9jeKitJ,lead_gJp2QVFOGiGbpYc2fsvp54DXumQFVhZ2dYAiGh2g5EC,actitype_4tEv1xumZEk9vYYs7WxYy7,,,,,,,,,
acti_VVnafUSbiRE7nvZBMUNEIpcAwORq6OMF3IlULFuhwmD,lead_MpZpMFZBPJaDpCB0hXj2UOlF704cK0S65d406LFttwq,actitype_4tEv1xumZEk9vYYs7WxYy7,,,,,,,,,
acti_q9WJEIGPLDopyp9XI1bOms1R8VRkeEpz1IBq3YUDIWo,lead_vtMm91AI3IKGT3FR5O21qMaEVTznzMI9nsQiBH8KCDy,actitype_2bBGxk2qNSjDtfe4wTCDzr,,,,,,,,,
acti_141vdugiPS0nLwWtw7cr2xp9zjk5naDmBKuMR2XHngg,lead_kgBAL3i8HgvNyx1yOAQx83JSOGVpPrqqQbhqKOPlvQY,actitype_4tEv1xumZEk9vYYs7WxYy7,,,,,,,,,
acti_YDihWdgKGhFLks80YHaNmM7W1Z68z2jYrA8fqAzYPve,lead_WbuTLwH1ENKSCbQVLNEf3gvvCDT3SrAHe6VXLUk6ayU,actitype_4tEv1xumZEk9vYYs7WxYy7,,,,,,,,,
acti_rO4JpiiOV2okOCAAxUmUwwpm0XDPYQj28dxBsXBvYhD,lead_pM7swMMvDTPzAkUvfCld4iGetrnzu9ISTodGpvHDATj,actitype_4tEv1xumZEk9vYYs7WxYy7,,,,,,,,,
acti_TL7iRWRxQyzT6EQxzRejquev3NmZ31sdHnXR28fuvN8,lead_lBPbdCQMtvbzIfeTKb5mYxsV95Uyi36vmU0CDdQUFDg,actitype_4tEv1xumZEk9vYYs7WxYy7,,,,,,,,,
acti_TIOSyHBRFUzMScprdSg6NfAS7aqs1BqTebAVRAUHUMz,lead_lBPbdCQMtvbzIfeTKb5mYxsV95Uyi36vmU0CDdQUFDg,actitype_2VcSfZQX6FeIL8kkxy48C2,,4. No Show,No,,,user_9dlTLS8pMYOePFZ0cU22V0WWI3QL4LMZVjQHTolrvIS,user_ZL08XmfRy9oH3vcZmD92Z28begT1hFoKBKcK5LreJXs,,"[""No Show""]"
