ACTIVITY_ID,LEAD_ID,CUSTOM_ACTIVITY_ID,PROSPECTING_CALL_OUTCOME,ACTIVITY_AT,DATE_UPDATED
acti_4Eae9hCD5NbkPZFjdW81GewvhObwRPMaY8p7pcUIArn,lead_7yRdeNipYAVI5t0kwZLoguE10L1rQE59VmgmksIS1h0,actitype_4tEv1xumZEk9vYYs7WxYy7,4. Unqualified,2026-04-14 16:51:30.925,2026-04-14 16:51:41.059
acti_YXt6mzTOp6o4QbfWeBijsZ2xlV7MqAISODuZAM1vlpX,lead_7ybPKNMdZbhlxwZ5mxEal78vtjuB6kHPHlB61otxM8O,actitype_4tEv1xumZEk9vYYs7WxYy7,4. Unqualified,2026-04-14 14:54:11.207,2026-04-14 15:02:15.478
acti_2CCO7HPCso2jED19pUC1obXbcOP6uuMx1OVS0yQE0dk,lead_7ybuAf7npmqq8xTsaYvhpmRVffalTtRuk8TElYy9C3K,actitype_4tEv1xumZEk9vYYs7WxYy7,2. Strategy Call Scheduled,2026-05-06 17:04:31.997,2026-05-06 17:05:20.981
acti_DZF2wPvSmhEI6QWAnUHeBE2KZ0mgZg4uh3qpACiWd5k,lead_7ybuAf7npmqq8xTsaYvhpmRVffalTtRuk8TElYy9C3K,actitype_4tEv1xumZEk9vYYs7WxYy7,2. Strategy Call Scheduled,2026-06-05 18:58:02.535,2026-06-05 18:58:22.709
acti_h3EEKqUGZ06JVCGcXZaqKqOgGP2KcNLHtjwoe7iWHRv,lead_7ytDIDkJ0EXrtwVJVSyEhfsqbB5sTtipy5DZz9tkfh0,actitype_4tEv1xumZEk9vYYs7WxYy7,6. Not Interested,2026-05-27 14:06:33.087,2026-05-27 14:06:42.040
acti_LhVRQfyPCbZPBHvaty3LIic8gLl7MBymZXz6ls72zo2,lead_7z9VAKkqzVhSl3cJVFOb1Y0xXJJEXHxSb5IwXrw1cjK,actitype_4tEv1xumZEk9vYYs7WxYy7,6. Not Interested,2026-05-29 12:59:37.111,2026-05-29 12:59:53.165
acti_9f3gqlK7dAHRJaflv7LqAXeHQXe2Qyz7VnpI7ZZQrfC,lead_7zWmzPfOIjTOOGyNG5VvQI20l2jPsVysb3PhO6Rs87S,actitype_4tEv1xumZEk9vYYs7WxYy7,3. Follow Up,2026-05-06 14:50:05.190,2026-05-06 14:50:19.737
acti_qW44HpeArRsYOfL9TDmr0EYiL6z0I749I7Ze0F6GVqR,lead_7zXXuRXPuNPi6FyZtDrDNIHBqNBo5TF1mBkzkz26YQU,actitype_4tEv1xumZEk9vYYs7WxYy7,6. Not Interested,2026-05-18 18:42:00.625,2026-05-18 18:42:16.062
acti_OzEo2i21jXiMSDGm2uNVCeagEt2zpASW4GX6dwyekVq,lead_7zeSplLolSw41JTxPDWdaRcA21ZekiJFKUI7gltC5k2,actitype_4tEv1xumZEk9vYYs7WxYy7,6. Not Interested,2026-04-28 01:45:17.656,2026-04-28 01:45:23.939
acti_bPCa4Qht6BQPjDZGl8wxNpTvvjjAKN1yuGecc21CY5O,lead_7zeSplLolSw41JTxPDWdaRcA21ZekiJFKUI7gltC5k2,actitype_4tEv1xumZEk9vYYs7WxYy7,2. Strategy Call Scheduled,2026-04-28 02:07:45.900,2026-04-28 02:07:54.350
acti_nSwSXmZVYh47R2yILxfkyPIS8GFnsH9d5V9DXplQHhC,lead_7zvw8bsUKXUa5pkJzN3D0KjG86ZaiP3YYqs1Gj5qZef,actitype_4tEv1xumZEk9vYYs7WxYy7,6. Not Interested,2026-06-10 23:40:39.196,2026-06-10 23:41:04.119
acti_XHjC0cNrWXAB5pCZZDiKs7P7QPQRKpqFAr7FYC9N7zR,lead_7zwOIGdBWlyGN2HRlNYqE38UaxN6jfKFmGGZWNKsDcX,actitype_6ga7msjJ7kZcH2rGtYETwe,2. Strategy Call Scheduled,2026-06-11 00:23:53.262,2026-06-11 00:38:11.528
acti_yPkhXDE39ZFoOWkLrdFl92AxtAV53wJ2EpnmF6iq8U3,lead_80fwnApHschxOZwKsxXkjhDEj6gxUdCLQP9okVTHmCs,actitype_4tEv1xumZEk9vYYs7WxYy7,6. Not Interested,2026-06-22 14:06:48.688,2026-06-22 14:07:11.684
acti_pAsSRpJ4oTRRDfMoG4B5OPfQDkIBC1XCwjbulqe7EUS,lead_81CWq23KTjVGOVB3ozdtXDFX1D2GPWxZDo5PPq5bkEa,actitype_6ga7msjJ7kZcH2rGtYETwe,3. Follow Up,2026-04-01 22:09:32.457,2026-04-01 22:09:49.755
acti_QonPMHbBsWhirIjiGqqOjeDiBPDF8rESjydyY4ZOiMA,lead_81FcinvFResPVLWWPJYuIx2d9BVo2tqOjnm6g2Q6sVd,actitype_4tEv1xumZEk9vYYs7WxYy7,6. Not Interested,2026-05-18 19:44:45.450,2026-05-18 19:45:58.480
acti_lhdkN1cdBKO9yvZ8BTZoaeJaZvNrL5v17QoFOhbAARi,lead_81zfY3bxzKJWU5G3m8lgOLIcAJPRar3UFgtb9i6GPvF,actitype_4tEv1xumZEk9vYYs7WxYy7,3. Follow Up,2026-03-30 17:04:06.610,2026-03-30 17:05:12.396
acti_0PjqgzDOkrMOjKkJtt2696oLhtI179jZ8M2kuk50LBm,lead_82bQBHQxedNYjRFPgZZT4Ceks7cEvVE2hLQlLLrfKt6,actitype_4tEv1xumZEk9vYYs7WxYy7,3. Follow Up,2026-07-06 12:24:01.222,2026-07-06 12:24:06.797
acti_4acJrieri5SAM7XDfT7RIvhluRqL4yFo3O9YCwp8NTw,lead_8455UFn5xnOcRFXeC5HMqfZAOgPq1R8IZxgLPQ1SD7q,actitype_4tEv1xumZEk9vYYs7WxYy7,6. Not Interested,2026-06-01 17:52:28.617,2026-06-01 17:52:35.266
acti_R19JTqZViSVqyxbmee9NpUitsQGRZ0gQVxu4N1wQ3Y4,lead_8455UFn5xnOcRFXeC5HMqfZAOgPq1R8IZxgLPQ1SD7q,actitype_4tEv1xumZEk9vYYs7WxYy7,3. Follow Up,2026-04-28 19:28:48.015,2026-04-28 19:30:41.180
acti_xDKSKgamzEQ34IcgK3Du4qAG7AygrSYdtPyGOfxnoJk,lead_84WYOGaY3Q1YhYbpeNaU3yDG6ndETOux7iVgzwDbtGe,actitype_4tEv1xumZEk9vYYs7WxYy7,6. Not Interested,2026-06-20 00:17:21.473,2026-06-20 00:17:30.227
acti_F6337l4L3KhDMmlIT82lznVKIcstWNxuGrlmrgiiNQV,lead_84djDaqPfO66n4ErHufhJ6Xb4GEus2YgWikvrF2XK7I,actitype_4tEv1xumZEk9vYYs7WxYy7,4. Unqualified,2026-05-27 15:21:10.275,2026-05-27 15:21:22.780
acti_FA3rnUCQCUcuvu3eyTjjJ6oJBDWc4iAaHMGFHKYK75U,lead_854iJ2IdCgjA6BVfL0xKT9ErwMtXA8Hpg3MarInWr9e,actitype_4tEv1xumZEk9vYYs7WxYy7,3. Follow Up,2026-04-18 16:33:52.258,2026-04-18 16:34:26.930
acti_MF8av5pUI9DFWcLeiN3UuQpXRQ3ru06XtYgZG46fE9x,lead_854iJ2IdCgjA6BVfL0xKT9ErwMtXA8Hpg3MarInWr9e,actitype_4tEv1xumZEk9vYYs7WxYy7,3. Follow Up,2026-06-08 16:54:03.454,2026-06-08 16:54:18.094
acti_Zu3riEjZM6qnDTbk9rMW93l2h4ng9gN9KkWMqBbUKqN,lead_854iJ2IdCgjA6BVfL0xKT9ErwMtXA8Hpg3MarInWr9e,actitype_4tEv1xumZEk9vYYs7WxYy7,3. Follow Up,2026-04-29 12:52:07.629,2026-04-29 12:52:22.933
acti_p71LP8FmKx9gfwECGmqLKaMiYcuKsVOs6OEwclC9jil,lead_85NYxw34Mg5FX4oM9K6HKuCflzewv0Rm9SlEpKjLtpK,actitype_6ga7msjJ7kZcH2rGtYETwe,3. Follow Up,2026-07-04 14:22:15.930,2026-07-04 14:22:24.293
acti_n2b6MDMdgCBMZjUq2HsOpMkCplT3q8ErsaFowdoSy6u,lead_862rtEbrBeGzF6imrxEOnjPesSNCXKVkDUZ7gVuIL3M,actitype_4tEv1xumZEk9vYYs7WxYy7,3. Follow Up,2026-04-13 21:39:53.530,2026-04-13 21:40:51.340
acti_h5gapbql0vzdw4s3ygrKg8g1mFPhaGMgKBSoPGziaOA,lead_8698642j9YevhN5lVt0Ggv2m56chPHtobWmNce1lM9a,actitype_4tEv1xumZEk9vYYs7WxYy7,6. Not Interested,2026-05-20 18:25:48.843,2026-05-20 18:25:55.703
